Show,Sentiment,Review
Mad Men,0,"With each new season, I try to remind myself that the show is a slow burn. The first episode wasn't as glacial as the first episode of last season, but it still dragged a bit."
Pieces of Her,0,"Well acted and highly suspenseful, the eight-part Netflix thriller “Pieces of Her” never lets up. This is a good thing for the first five episodes. Then it grows exhausting."
Brave New World,0,"Huxley's novel was revolutionary when it was published nearly 90 years ago, but the show has turned it into just another piece of consumer content."
Stranger Things,0,"What we're left with is a disjointed poorer show. One that's trying to go in various directions, but doesn't always have the room for it, despite the crazy runtimes. I'm afraid Stranger Things 4 has gotten too big for its own good."
Lost,0,The series squandered its final season in a misguided effort to transform its trademark narrative ingenuity into a grand metaphysical statement.
Brave New World,0,"Slick, expensive-looking and with the biggest name behind it, ""Brave"" should have been Peacock's best offering, but instead is its biggest flop."
The Shrink Next Door,0,"It's a deeply terrifying story of manipulation and abuse that plays like a comedy, sometimes when it doesn't mean to, but isn't all that funny when it's trying to be."
Star Trek,0,"Season one changed the genre as we know it, and the second season equally so; it's just a crying shame that the third couldn't have made it a hat trick."
Sex/Life,0,A show that has no idea what kind of message it wants to send.
Anatomy of a Scandal,0,"A paint-by-numbers thriller that ostensibly investigates the nature of sexual consent without really making us feel invested in any of the characters involved, however well-acted."
Brave New World,0,"It's just never compelling, never engrossing and, worst of all, not thought-provoking to the degree it needs to be given its subject matter and acclaimed, if dated, source material."
The First Lady,0,"There's never quite enough from any one first lady, which leaves a sense of disappointment. It's unfortunately a show that is lesser than the sum of its Emmy- and Oscar-winning parts."
Pieces of Her,0,"Despite a gripping and finely acted opening act, this series fails to deliver on the type of artful suspense and nuance it hints at early on."
Loki,0,"Loki could well improve, now that its arduous task of educating us about multiverses, and glumly explaining Loki to himself, is with any luck behind it. Let's hope so."
Amazing Stories,0,"With only 52 minutes of running time, The Cellar feels like a TV movie condensed to the length of a TV episode. Its characters are painted in wide brush strokes."
House of Cards,0,What was once macabre is now mundane.
Shameless,0,"I understand that Shameless continues to find Frank useful, but the results are never actually interesting, nor do they ever add up to anything."
