Show,Sentiment,Review
The Pentaverate,0,"That the resulting show isn’t good doesn’t especially matter, in the end. It’ll probably still find enough curious viewers to justify the partnership, and for Netflix, that’ll be more than enough."
The Undoing,0,"While beautiful to look at, the show struggles to say something compelling as it's more interested in amplifying the melodrama instead of delving deep into its more interesting subjects."
Stay Close,0,"The trouble with Stay Close is that it's too familiar. Despite the plethora of unexpected twists, this series manages to feel identical to every other crime drama that's been thrown out in recent years, and not a particularly great one at that."
The Haunting of Hill House,0,The virtuosity in the style is evident. That's why it's a shame that [director and writer Mike] Flanagan neglects elementary aspects like the performances and the script. [Full review in Spanish]
The Nevers,0,"This is really unpleasant, and that is all I have."
The Mysterious Benedict Society,0,"The first two episodes have a start-and-stop energy, with more tests leading to more tests, and it gets more and more tedious."
The Mosquito Coast,0,"Remembering Peter Weir's 1986 film, a descent-into-madness tragedy set entirely on the titular coast of Honduras, could be more of a hindrance to enjoying this new take."
Brooklyn Nine-Nine,0,"This final season is an awkward combination of tones, as it aims to be both insightful and funny and ends up being neither."
Black Mirror,0,"Such dissonance underscores the impression, supported by the occasional but conspicuous Britishisms that issue from the mouths of American characters in the Netflix seasons, that Brooker isn't getting enough feedback on his scripts."
Outer Range,0,"Outer Range isn’t consistently satisfying as a drama series, though as an extended metaphor for television viewing circa 2022, this story of a Wyoming family throwing things in a mysterious hole on their ranch is at least unintentionally savvy."
The Essex Serpent,0,"The pacing is slow, and rather than feeling meditative or breathable, The Essex Serpent only feels mechanical, ploddingly carrying the plot forward scene to scene. Whatever electricity the leads’ performances could have lent it is thoroughly deadened."
Taboo,0,[Taboo] silently bullies you into a reverence it probably doesn't deserve.
The White Lotus,0,"What's lifted up are all of the critiques of sexism, racism, and classism. What's cancelled are the sources of these critiques, which are predominately POCs. And what's preserved is the hetero white male dominance of capitalism."
Safe,0,It's a thriller by numbers that doesn't feel clever enough for its talented cast.
Bel-Air,0,"Painfully earnest and mostly stripped of its original buoyancy, this formerly amusing and entertaining fish-out-of-water story is left gasping for an original thought."
Amazing Stories,0,"Some twists, mystery in tame but lackluster anthology."
Mindhunter,0,Mindhunter stumbles by linking the intimate lives of its protagonists with those of the psychopaths they interview and stalk. [Full Review in Spanish]
